,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
624399,785,4,2013-12-19,8590,681,1,1,0,0
450916,127,5,2014-05-23,5955,681,1,1,0,0
975991,37,3,2013-02-06,7528,792,1,1,0,1
956467,583,7,2013-02-24,0,0,0,0,0,0
357014,23,7,2014-08-24,0,0,0,0,0,0
84642,1018,7,2015-05-17,0,0,0,0,0,0
546000,436,4,2014-02-27,4661,575,1,0,0,1
115887,1043,7,2015-04-19,0,0,0,0,0,0
399839,925,4,2014-07-10,5489,1093,1,0,0,0
46161,447,6,2015-06-20,4493,534,1,0,0,0
740124,550,5,2013-09-06,4377,431,1,0,0,0
670931,487,4,2013-11-07,7177,708,1,1,0,0
736850,621,1,2013-09-09,8281,1030,1,1,0,0
829075,301,2,2013-06-18,6208,607,1,1,0,0
904313,834,5,2013-04-12,5927,667,1,1,0,0
384593,578,6,2014-07-26,9835,1011,1,0,0,0
955067,298,1,2013-02-25,5654,513,1,0,0,0
490517,703,5,2014-04-18,0,0,0,1,b,1
214590,511,2,2015-01-20,4804,751,1,0,0,0
912750,351,4,2013-04-04,4462,428,1,0,0,1
869972,1058,1,2013-05-13,8855,815,1,1,0,0
287439,685,5,2014-11-07,7654,675,1,1,0,0
50760,586,2,2015-06-16,17287,2477,1,1,0,0
770885,91,5,2013-08-09,3661,469,1,0,0,1
698975,656,7,2013-10-13,0,0,0,0,0,0
427375,1,5,2014-06-13,3901,498,1,0,0,0
583829,355,5,2014-01-24,8140,994,1,1,0,0
791721,857,1,2013-07-22,5504,794,1,0,0,1
880636,572,5,2013-05-03,8882,717,1,1,0,0
651890,401,7,2013-11-24,0,0,0,0,0,0
112578,1079,3,2015-04-22,4871,468,1,0,0,0
817765,141,5,2013-06-28,5669,577,1,0,0,0
97068,64,2,2015-05-05,12806,875,1,1,0,0
875162,673,3,2013-05-08,6693,598,1,0,0,0
419300,846,6,2014-06-21,5613,558,1,0,0,0
368054,930,3,2014-08-13,4774,925,1,0,0,1
406727,221,3,2014-07-02,6827,611,1,1,0,0
229152,578,3,2015-01-07,7327,635,1,1,0,0
1011373,854,7,2013-01-06,0,0,0,0,0,0
248696,202,4,2014-12-18,9409,708,1,1,0,0
448800,241,7,2014-05-25,0,0,0,0,0,0
98572,453,1,2015-05-04,11459,1150,1,1,0,0
487135,666,1,2014-04-21,0,0,0,0,b,1
117825,751,5,2015-04-17,4481,576,1,1,0,0
668994,780,6,2013-11-09,2880,324,1,0,0,0
1013459,710,5,2013-01-04,3513,330,1,0,0,1
213903,939,3,2015-01-21,4151,467,1,0,0,0
919743,654,5,2013-03-29,0,0,0,1,b,1
870559,530,7,2013-05-12,3840,701,1,0,0,0
186669,465,6,2015-02-14,8179,686,1,0,0,0
411287,638,6,2014-06-28,6100,553,1,0,0,0
439475,951,2,2014-06-03,10719,885,1,1,0,0
856337,803,6,2013-05-25,5427,461,1,0,0,0
882415,121,3,2013-05-01,0,0,0,1,a,0
907749,925,2,2013-04-09,6982,969,1,1,0,0
274315,642,5,2014-11-21,2814,425,1,0,0,0
386300,382,4,2014-07-24,6186,590,1,0,0,1
419716,147,5,2014-06-20,10377,1111,1,1,0,0
396851,705,7,2014-07-13,0,0,0,0,0,0
472381,407,7,2014-05-04,0,0,0,0,0,0
431714,995,2,2014-06-10,8992,799,1,0,0,0
449378,819,7,2014-05-25,0,0,0,0,0,0
438907,383,2,2014-06-03,20422,2419,1,1,0,0
631513,94,4,2013-12-12,6257,614,1,0,0,0
158493,164,3,2015-03-11,5501,625,1,0,0,0
773486,462,3,2013-08-07,4306,621,1,0,0,1
959443,214,4,2013-02-21,9053,707,1,1,0,0
3863,519,2,2015-07-28,6730,603,1,1,0,1
814726,447,1,2013-07-01,7205,773,1,1,0,1
577989,90,3,2014-01-29,5919,833,1,0,0,0
702204,540,4,2013-10-10,5348,338,1,1,0,0
188304,985,5,2015-02-13,7198,757,1,0,0,0
134601,802,4,2015-04-02,10367,748,1,1,0,1
571999,790,2,2014-02-04,7995,658,1,1,0,0
607112,223,5,2014-01-03,6802,727,1,0,0,1
342942,1082,2,2014-09-09,5968,949,1,0,0,0
529667,828,5,2014-03-14,4322,542,1,0,0,0
346576,960,5,2014-09-05,6784,547,1,1,0,1
539972,1098,3,2014-03-05,6508,838,1,1,0,0
847146,532,7,2013-06-02,0,0,0,0,0,0
650214,955,2,2013-11-26,3703,357,1,0,0,0
847346,732,7,2013-06-02,3248,367,1,0,0,0
138145,1001,1,2015-03-30,11881,1008,1,1,0,1
506189,765,5,2014-04-04,9207,753,1,1,0,0
721995,261,7,2013-09-22,0,0,0,0,0,0
30153,49,6,2015-07-04,7578,562,1,0,0,0
616473,664,4,2013-12-26,0,0,0,0,c,1
675137,233,7,2013-11-03,0,0,0,0,0,0
743604,685,2,2013-09-03,6430,692,1,0,0,1
373696,965,4,2014-08-07,9062,1275,1,1,0,1
902909,545,6,2013-04-13,6741,700,1,0,0,0
337501,176,7,2014-09-14,0,0,0,0,0,0
997717,578,5,2013-01-18,5520,577,1,0,0,0
544056,722,6,2014-03-01,9372,1568,1,0,0,0
183430,571,2,2015-02-17,6829,475,1,1,0,1
880663,599,5,2013-05-03,13536,1138,1,1,0,0
968115,1081,4,2013-02-14,0,0,0,0,0,0
903986,507,5,2013-04-12,9079,736,1,1,0,0
599809,725,5,2014-01-10,6726,670,1,1,0,0
21851,667,7,2015-07-12,0,0,0,0,0,0
173537,713,4,2015-02-26,7361,993,1,0,0,0
623158,659,5,2013-12-20,9738,1064,1,1,0,0
760722,1078,1,2013-08-19,5286,454,1,0,0,1
1014128,264,4,2013-01-03,6398,907,1,0,0,1
268122,1059,5,2014-11-28,13147,1455,1,1,0,0
145057,108,1,2015-03-23,11135,853,1,0,0,0
399958,1060,4,2014-07-10,6358,779,1,0,0,1
391047,466,6,2014-07-19,4313,387,1,0,0,0
640652,313,3,2013-12-04,10566,862,1,1,0,0
334594,47,3,2014-09-17,8095,1005,1,1,0,0
994456,662,1,2013-01-21,11617,946,1,1,0,0
218531,1107,6,2015-01-17,5203,619,1,0,0,0
850530,571,4,2013-05-30,0,0,0,1,a,1
256686,808,3,2014-12-10,7040,584,1,0,0,0
868932,18,1,2013-05-13,8117,832,1,1,0,0
844742,358,2,2013-06-04,11607,1211,1,1,0,0
327125,61,4,2014-09-25,3842,468,1,0,0,0
545474,1025,5,2014-02-28,8444,968,1,0,0,0
914025,511,3,2013-04-03,5125,800,1,0,0,0
910279,110,6,2013-04-06,2430,331,1,0,0,0
79721,557,4,2015-05-21,4029,614,1,1,0,0
156880,781,5,2015-03-13,4062,595,1,0,0,0
486896,427,1,2014-04-21,0,0,0,0,b,1
326815,812,5,2014-09-26,5139,691,1,0,0,0
271311,400,1,2014-11-24,14653,1615,1,1,0,0
257398,535,2,2014-12-09,7621,913,1,0,0,0
729843,304,7,2013-09-15,0,0,0,0,0,0
936582,768,4,2013-03-14,9964,1108,1,0,0,0
51634,345,1,2015-06-15,5703,544,1,1,0,0
532927,743,2,2014-03-11,3093,373,1,0,0,0
950549,240,5,2013-03-01,4105,424,1,0,0,0
501176,212,2,2014-04-08,3675,379,1,0,0,0
896710,1036,5,2013-04-19,4152,480,1,0,0,0
417865,526,7,2014-06-22,0,0,0,0,0,0
450143,469,6,2014-05-24,11517,1576,1,0,0,0
466301,1017,6,2014-05-10,5879,796,1,0,0,0
369615,557,1,2014-08-11,3514,632,1,0,0,1
862287,63,7,2013-05-19,0,0,0,0,0,0
688418,134,2,2013-10-22,5211,523,1,1,0,0
110132,863,5,2015-04-24,7595,1060,1,0,0,0
1000421,1052,3,2013-01-16,5346,628,1,0,0,0
451023,234,5,2014-05-23,11658,1073,1,1,0,0
167913,664,2,2015-03-03,6867,736,1,1,0,0
683052,343,7,2013-10-27,0,0,0,0,0,0
949375,181,6,2013-03-02,3845,407,1,0,0,0
1014469,605,4,2013-01-03,4649,396,1,0,0,1
409113,694,1,2014-06-30,10053,881,1,1,0,0
573916,477,7,2014-02-02,0,0,0,0,0,0
409859,325,7,2014-06-29,0,0,0,0,0,0
124399,635,6,2015-04-11,2055,216,1,0,0,0
385424,452,5,2014-07-25,4429,456,1,0,0,1
899870,851,2,2013-04-16,3741,366,1,0,0,0
818403,779,5,2013-06-28,6609,764,1,0,0,0
881233,54,4,2013-05-02,8233,794,1,1,0,0
177912,628,7,2015-02-22,0,0,0,0,0,0
980285,986,7,2013-02-03,0,0,0,0,0,0
626898,1054,2,2013-12-17,11211,962,1,1,0,0
319644,60,5,2014-10-03,0,0,0,1,a,0
461421,597,3,2014-05-14,4575,725,1,0,0,0
349120,649,2,2014-09-02,4753,450,1,1,0,1
728482,58,1,2013-09-16,5216,496,1,0,0,0
445652,438,3,2014-05-28,4876,534,1,0,0,0
154214,345,7,2015-03-15,0,0,0,0,0,0
354787,722,3,2014-08-27,8091,1383,1,0,0,1
343786,976,1,2014-09-08,5715,677,1,0,0,0
577133,349,4,2014-01-30,6876,716,1,0,0,0
125906,1027,5,2015-04-10,11491,1553,1,0,0,1
559536,592,6,2014-02-15,2659,361,1,0,0,0
424526,497,1,2014-06-16,11578,1325,1,1,0,0
700928,379,5,2013-10-11,3763,453,1,1,0,1
209389,885,7,2015-01-25,0,0,0,0,0,0
75550,846,1,2015-05-25,0,0,0,0,a,0
246051,383,7,2014-12-21,0,0,0,0,0,0
434066,2,6,2014-06-07,2893,384,1,0,0,0
529887,1048,5,2014-03-14,5627,466,1,0,0,0
276205,666,3,2014-11-19,4398,491,1,0,0,0
756871,572,4,2013-08-22,4819,469,1,0,0,1
51573,284,1,2015-06-15,7528,526,1,1,0,0
519053,249,7,2014-03-23,0,0,0,0,0,0
831088,84,7,2013-06-16,0,0,0,0,0,0
315145,273,3,2014-10-08,7019,667,1,1,0,1
472461,487,7,2014-05-04,0,0,0,0,0,0
436161,982,5,2014-06-06,8762,773,1,1,0,0
457162,798,7,2014-05-18,0,0,0,0,0,0
928402,393,4,2013-03-21,5910,607,1,1,0,0
309819,607,2,2014-10-14,2849,389,1,0,0,1
573093,769,1,2014-02-03,11491,3266,1,1,0,0
708895,541,5,2013-10-04,6615,926,1,0,0,0
440418,779,1,2014-06-02,12967,1023,1,1,0,0
39582,558,5,2015-06-26,2367,395,1,0,0,0
302723,1066,3,2014-10-22,9925,1008,1,1,0,0
607421,532,5,2014-01-03,9344,1142,1,0,0,1
785471,182,6,2013-07-27,2917,283,1,0,0,1
786507,103,5,2013-07-26,4374,388,1,0,0,1
974255,531,5,2013-02-08,4658,550,1,1,0,0
858793,1029,4,2013-05-23,5140,797,1,0,0,0
319458,957,6,2014-10-04,5576,649,1,0,0,0
676952,933,6,2013-11-02,3693,539,1,0,0,0
454074,1055,3,2014-05-21,9030,1126,1,1,0,0
203845,916,5,2015-01-30,6431,809,1,1,0,0
58160,181,2,2015-06-09,5048,616,1,0,0,0
41140,1001,4,2015-06-25,4600,552,1,0,0,0
519538,734,7,2014-03-23,0,0,0,0,0,0
18381,542,3,2015-07-15,6789,544,1,1,0,0
510788,904,1,2014-03-31,11157,784,1,1,0,0
949038,959,7,2013-03-03,0,0,0,0,0,0
562855,566,3,2014-02-12,3388,458,1,0,0,0
328697,827,3,2014-09-24,10162,1483,1,0,0,0
121645,111,1,2015-04-13,9606,720,1,1,0,0
640532,193,3,2013-12-04,8394,1088,1,1,0,0
456963,599,7,2014-05-18,0,0,0,0,0,0
524890,511,2,2014-03-18,5824,837,1,1,0,0
413295,416,4,2014-06-26,8159,1130,1,0,0,0
398492,425,5,2014-07-11,2952,426,1,0,0,1
731136,482,6,2013-09-14,9472,1143,1,0,0,0
806387,1028,2,2013-07-09,3316,485,1,0,0,0
134249,450,4,2015-04-02,13956,1608,1,1,0,1
572617,293,1,2014-02-03,10662,1162,1,1,0,1
146838,774,7,2015-03-22,0,0,0,0,0,0
826264,835,5,2013-06-21,5398,753,1,1,0,0
448356,912,1,2014-05-26,4862,668,1,0,0,0
45343,744,7,2015-06-21,0,0,0,0,0,0
107935,896,7,2015-04-26,0,0,0,0,0,0
752408,569,1,2013-08-26,5780,778,1,1,0,0
750189,580,3,2013-08-28,10223,1711,1,1,0,0
433064,115,7,2014-06-08,0,0,0,0,0,0
285693,833,7,2014-11-09,0,0,0,0,0,0
501177,213,2,2014-04-08,6888,568,1,0,0,0
199671,87,1,2015-02-02,7861,944,1,1,0,1
636031,152,7,2013-12-08,0,0,0,0,0,0
641238,899,3,2013-12-04,8233,733,1,1,0,0
68638,624,7,2015-05-31,0,0,0,0,0,0
216302,1108,1,2015-01-19,5355,565,1,0,0,0
779440,841,5,2013-08-02,3740,562,1,1,0,1
657515,451,2,2013-11-19,6191,478,1,1,0,0
69415,286,6,2015-05-30,1583,148,1,0,0,0
213716,752,3,2015-01-21,3509,342,1,0,0,0
52241,952,1,2015-06-15,8277,609,1,1,0,0
527214,605,7,2014-03-16,0,0,0,0,0,0
260203,535,6,2014-12-06,6068,696,1,0,0,0
398056,1023,6,2014-07-12,5841,598,1,0,0,0
27125,366,2,2015-07-07,5282,561,1,0,0,0
85874,20,5,2015-05-15,7846,761,1,0,0,0
1001266,782,2,2013-01-15,3001,319,1,0,0,0
160077,633,2,2015-03-10,5437,439,1,0,0,0
227565,106,4,2015-01-08,8357,770,1,1,0,0
841340,301,5,2013-06-07,6182,682,1,1,0,0
672169,610,3,2013-11-06,4085,524,1,1,0,0
456973,609,7,2014-05-18,0,0,0,0,0,0
106974,1050,1,2015-04-27,9515,592,1,1,0,0
56801,1052,4,2015-06-11,6122,622,1,0,0,0
780648,934,4,2013-08-01,7771,718,1,1,0,1
318518,951,7,2014-10-05,0,0,0,0,0,0
336149,792,2,2014-09-16,8746,737,1,1,0,0
487097,628,1,2014-04-21,0,0,0,0,b,1
673612,938,2,2013-11-05,11906,1119,1,1,0,0
541077,1088,2,2014-03-04,8166,640,1,1,0,0
924437,888,1,2013-03-25,9218,804,1,1,0,1
71111,867,5,2015-05-29,5321,433,1,0,0,0
893138,809,1,2013-04-22,13953,1046,1,1,0,0
75870,51,7,2015-05-24,0,0,0,0,0,0
603766,222,1,2014-01-06,8412,818,1,1,0,0
633655,6,2,2013-12-10,7418,874,1,0,0,0
708488,134,5,2013-10-04,5023,530,1,0,0,1
186437,233,6,2015-02-14,8713,942,1,0,0,0
945223,489,3,2013-03-06,8834,740,1,1,0,0
872954,695,5,2013-05-10,5950,622,1,0,0,0
483387,263,4,2014-04-24,2696,269,1,0,0,1
626287,443,2,2013-12-17,9452,719,1,1,0,0
797517,1078,3,2013-07-17,8360,601,1,1,0,0
76499,680,7,2015-05-24,0,0,0,0,0,0
379076,692,5,2014-08-01,7052,823,1,1,0,1
942661,157,5,2013-03-08,10053,1040,1,1,0,0
525849,355,1,2014-03-17,10555,1220,1,1,0,0
961962,503,2,2013-02-19,5972,402,1,1,0,0
645467,668,6,2013-11-30,11252,1378,1,0,0,0
20192,123,1,2015-07-13,12738,1291,1,1,0,1
351563,222,6,2014-08-30,3176,367,1,0,0,0
708667,313,5,2013-10-04,7912,820,1,0,0,0
820104,250,3,2013-06-26,5600,499,1,0,0,0
787039,635,5,2013-07-26,5614,571,1,0,0,1
252511,291,7,2014-12-14,0,0,0,0,0,0
963053,479,1,2013-02-18,14704,1503,1,1,0,0
842248,94,4,2013-06-06,6407,650,1,1,0,0
131651,82,6,2015-04-04,8693,810,1,0,0,0
447018,689,2,2014-05-27,5831,657,1,0,0,0
430560,956,3,2014-06-11,3689,527,1,0,0,0
338824,632,6,2014-09-13,6875,905,1,0,0,0
666280,296,1,2013-11-11,6293,753,1,0,0,0
598359,390,6,2014-01-11,9868,1060,1,0,0,0
249034,595,4,2014-12-18,20580,2222,1,1,0,0
521825,791,5,2014-03-21,7413,782,1,1,0,0
985558,684,2,2013-01-29,4123,342,1,0,0,0
567631,882,6,2014-02-08,5869,747,1,0,0,0
1206,92,4,2015-07-30,6683,598,1,1,0,1
553135,881,5,2014-02-21,3984,610,1,1,0,0
833792,558,5,2013-06-14,3132,452,1,0,0,0
365471,73,5,2014-08-15,3864,465,1,0,0,1
1006093,34,4,2013-01-10,7667,967,1,1,0,0
606592,818,6,2014-01-04,4484,451,1,0,0,1
2423,194,3,2015-07-29,6319,451,1,1,0,0
502798,719,1,2014-04-07,3683,365,1,0,0,0
684726,902,6,2013-10-26,5024,637,1,0,0,0
523678,414,3,2014-03-19,5272,430,1,1,0,0
11186,37,2,2015-07-21,5149,566,1,0,0,1
446975,646,2,2014-05-27,4356,618,1,0,0,0
680893,414,2,2013-10-29,4202,389,1,0,0,0
197411,57,3,2015-02-04,9192,877,1,1,0,0
98502,383,1,2015-05-04,21262,2507,1,1,0,0
312771,789,6,2014-10-11,2350,323,1,0,0,0
569670,691,4,2014-02-06,9168,650,1,1,0,0
222712,828,2,2015-01-13,6395,720,1,1,0,0
414142,148,3,2014-06-25,5773,598,1,0,0,0
886650,1011,7,2013-04-28,0,0,0,0,0,0
977032,1078,3,2013-02-06,5598,469,1,1,0,0
925329,665,7,2013-03-24,0,0,0,0,0,0
238737,582,1,2014-12-29,6182,795,1,0,0,1
383507,395,7,2014-07-27,0,0,0,0,0,0
636321,442,7,2013-12-08,0,0,0,0,0,0
526404,910,1,2014-03-17,8562,783,1,1,0,0
509238,469,2,2014-04-01,15159,1649,1,1,0,0
521851,817,5,2014-03-21,20980,3083,1,1,0,0
549515,606,1,2014-02-24,5153,661,1,0,0,0
327503,510,4,2014-09-25,5933,710,1,0,0,0
632593,59,3,2013-12-11,5550,557,1,0,0,0
429599,1110,4,2014-06-12,4087,555,1,0,0,0
936855,1041,4,2013-03-14,4421,513,1,0,0,0
488075,491,7,2014-04-20,0,0,0,0,0,0
568525,661,5,2014-02-07,7085,568,1,1,0,0
797547,1108,3,2013-07-17,6166,650,1,1,0,1
628649,575,7,2013-12-15,0,0,0,0,0,0
591748,469,5,2014-01-17,9439,1334,1,0,0,0
451233,444,5,2014-05-23,12557,1452,1,1,0,0
122574,1040,1,2015-04-13,14215,1113,1,1,0,0
947428,464,1,2013-03-04,12261,1343,1,1,0,0
557510,796,1,2014-02-17,10973,934,1,1,0,0
489012,313,6,2014-04-19,8480,861,1,0,0,0
503961,767,7,2014-04-06,0,0,0,0,0,0
254365,268,5,2014-12-12,4212,546,1,0,0,0
76981,47,6,2015-05-23,5824,708,1,0,0,0
951819,395,4,2013-02-28,4539,581,1,0,0,0
370206,150,7,2014-08-10,0,0,0,0,0,0
416704,480,1,2014-06-23,4676,658,1,0,0,0
886395,756,7,2013-04-28,0,0,0,0,0,0
884985,461,1,2013-04-29,6935,600,1,1,0,0
891773,559,2,2013-04-23,7708,945,1,1,0,0
653442,838,6,2013-11-23,7075,766,1,0,0,0
61743,419,6,2015-06-06,4092,702,1,0,0,0
592542,148,4,2014-01-16,6623,689,1,0,0,0
687453,284,3,2013-10-23,5627,426,1,1,0,0
467552,38,4,2014-05-08,6663,570,1,1,0,0
633965,316,2,2013-12-10,9012,845,1,0,0,0
788354,835,4,2013-07-25,3560,535,1,0,0,1
494702,428,1,2014-04-14,8924,683,1,1,0,1
38666,757,6,2015-06-27,5118,441,1,0,0,0
737134,905,1,2013-09-09,15052,1944,1,1,0,0
972119,625,7,2013-02-10,0,0,0,0,0,0
992206,642,3,2013-01-23,3747,481,1,1,0,0
483188,64,4,2014-04-24,8310,729,1,0,0,1
203315,386,5,2015-01-30,7774,583,1,1,0,0
797137,698,3,2013-07-17,14037,1752,1,1,0,1
141514,1025,5,2015-03-27,6849,810,1,0,0,1
881395,216,4,2013-05-02,7865,1049,1,1,0,0
59084,1105,2,2015-06-09,4123,499,1,0,0,0
149320,1026,5,2015-03-20,11274,1355,1,1,0,0
933213,744,7,2013-03-17,0,0,0,0,0,0
142329,725,4,2015-03-26,4958,547,1,0,0,0
304665,35,7,2014-10-19,0,0,0,0,0,0
380916,656,3,2014-07-30,3755,378,1,1,0,1
723513,664,6,2013-09-21,3102,432,1,0,0,0
292415,1039,7,2014-11-02,0,0,0,0,0,0
571943,734,2,2014-02-04,9264,790,1,1,0,0
425834,690,7,2014-06-15,0,0,0,0,0,0
975675,836,4,2013-02-07,6284,786,1,1,0,1
691794,165,6,2013-10-19,2945,308,1,0,0,0
801833,934,6,2013-07-13,4774,485,1,0,0,0
852412,223,2,2013-05-28,7911,815,1,1,0,0
889912,928,4,2013-04-25,6917,634,1,1,0,0
1009999,595,1,2013-01-07,20802,2157,1,1,0,0
274847,163,4,2014-11-20,6615,814,1,0,0,0
88076,1107,4,2015-05-14,0,0,0,0,a,0
354029,930,4,2014-08-28,5085,931,1,0,0,0
192512,733,1,2015-02-09,14417,3335,1,0,0,0
927368,474,5,2013-03-22,8369,828,1,1,0,0
400105,120,3,2014-07-09,5262,505,1,0,0,0
538330,571,4,2014-03-06,7108,555,1,1,0,1
61325,1,6,2015-06-06,4183,460,1,0,0,0
208767,263,7,2015-01-25,0,0,0,0,0,0
94519,860,5,2015-05-08,8308,1009,1,1,0,0
307801,433,4,2014-10-16,4777,576,1,0,0,1
795248,1039,5,2013-07-19,8357,1086,1,1,0,0
195876,752,5,2015-02-06,6638,532,1,1,0,0
239477,353,7,2014-12-28,7975,1509,1,0,0,0
13323,1059,1,2015-07-20,7739,1090,1,0,0,1
942621,117,5,2013-03-08,5029,614,1,1,0,0
181616,987,4,2015-02-19,6665,861,1,1,0,0
668551,337,6,2013-11-09,5883,462,1,0,0,0
492982,938,3,2014-04-16,9318,981,1,1,0,1
325177,1082,7,2014-09-28,0,0,0,0,0,0
205714,555,3,2015-01-28,5531,450,1,1,0,0
299175,188,6,2014-10-25,4541,458,1,0,0,0
219382,843,5,2015-01-16,9707,1070,1,1,0,0
356638,695,1,2014-08-25,3987,470,1,0,0,0
437904,495,3,2014-06-04,5426,397,1,1,0,0
129936,597,1,2015-04-06,0,0,0,0,b,1
856882,233,5,2013-05-24,7821,929,1,0,0,0
208974,470,7,2015-01-25,0,0,0,0,0,0
981964,435,5,2013-02-01,3263,370,1,0,0,0
100383,34,6,2015-05-02,9429,1137,1,0,0,0
42391,22,2,2015-06-23,4132,505,1,0,0,0
123658,1009,7,2015-04-12,0,0,0,0,0,0
674840,1051,1,2013-11-04,9958,1233,1,1,0,0
130990,536,7,2015-04-05,0,0,0,0,0,0
856278,744,6,2013-05-25,5975,764,1,0,0,0
424984,955,1,2014-06-16,7415,640,1,1,0,0
664182,428,3,2013-11-13,4534,428,1,0,0,0
760033,389,1,2013-08-19,8559,1217,1,0,0,0
324039,845,1,2014-09-29,6112,407,1,1,0,0
512160,46,6,2014-03-29,4906,668,1,0,0,0
503898,704,7,2014-04-06,0,0,0,0,0,0
293904,584,5,2014-10-31,4614,453,1,0,0,1
841550,511,5,2013-06-07,5645,828,1,1,0,0
905712,3,3,2013-04-10,8414,839,1,1,0,0
744542,508,1,2013-09-02,6416,681,1,0,0,1
639453,229,4,2013-12-05,13047,978,1,1,0,0
939431,272,1,2013-03-11,4874,630,1,0,0,0
998397,143,4,2013-01-17,3959,412,1,0,0,0
169308,944,1,2015-03-02,9749,1336,1,1,0,0
1005932,988,5,2013-01-11,4119,628,1,1,0,0
101788,324,5,2015-05-01,0,0,0,1,a,0
949919,725,6,2013-03-02,5591,590,1,0,0,0
609223,104,3,2014-01-01,0,0,0,0,a,1
1001007,523,2,2013-01-15,14521,1839,1,0,0,0
275566,1017,4,2014-11-20,8304,1150,1,0,0,0
560395,336,5,2014-02-14,12518,1886,1,0,0,0
647067,38,4,2013-11-28,4324,418,1,0,0,0
903345,981,6,2013-04-13,5808,689,1,0,0,0
917077,218,7,2013-03-31,0,0,0,0,0,0
75375,671,1,2015-05-25,0,0,0,0,a,0
30952,848,6,2015-07-04,4533,582,1,0,0,0
746065,916,7,2013-09-01,0,0,0,0,0,0
807293,819,1,2013-07-08,5241,504,1,0,0,1
815570,176,7,2013-06-30,0,0,0,0,0,0
478457,908,2,2014-04-29,4946,405,1,1,0,0
925156,492,7,2013-03-24,0,0,0,0,0,0
772053,144,4,2013-08-08,8307,839,1,0,0,1
992632,1068,3,2013-01-23,3465,248,1,1,0,0
209973,354,6,2015-01-24,6618,606,1,0,0,0
202323,509,6,2015-01-31,3971,340,1,0,0,0
468445,931,4,2014-05-08,4166,491,1,1,0,0
649998,739,2,2013-11-26,6514,589,1,0,0,0
270171,162,2,2014-11-25,9240,570,1,1,0,0
215353,159,1,2015-01-19,6101,646,1,0,0,0
216420,111,7,2015-01-18,0,0,0,0,0,0
295991,847,3,2014-10-29,5357,845,1,0,0,0
454695,561,2,2014-05-20,7150,655,1,1,0,0
6612,1038,7,2015-07-26,0,0,0,0,0,0
115811,967,7,2015-04-19,0,0,0,0,0,0
661078,669,6,2013-11-16,4753,394,1,0,0,0
228672,98,3,2015-01-07,6066,450,1,1,0,0
771942,33,4,2013-08-08,5615,663,1,0,0,1
408612,193,1,2014-06-30,8734,1024,1,1,0,0
