,id,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,target
19415,19416,0,1,0,0,0,0,0,0,0,0,0,0,2,0,19,7,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,1,0,3,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Class_3
52227,52228,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,3,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,1,4,0,10,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,Class_8
1240,1241,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,2,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Class_1
23144,23145,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Class_3
41104,41105,0,0,4,5,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,2,0,1,1,5,0,2,0,0,0,2,0,0,0,1,0,2,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,1,1,2,0,7,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,Class_6
11602,11603,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Class_2
43124,43125,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,2,1,1,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,4,0,1,1,1,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Class_6
58420,58421,0,1,1,3,0,0,0,2,1,2,0,0,2,0,0,5,0,0,0,2,0,2,3,2,1,1,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,5,2,0,0,0,0,0,0,3,0,0,0,2,9,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,Class_9
7077,7078,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,5,6,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,9,2,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,32,0,0,0,0,0,1,0,1,1,0,0,0,0,0,9,1,1,5,0,0,0,0,0,Class_2
31118,31119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,13,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Class_5
45687,45688,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,2,4,0,0,1,0,5,0,4,3,1,0,1,0,0,0,2,0,1,0,1,1,0,1,0,0,8,0,2,0,1,0,2,2,0,0,0,1,5,0,0,1,0,0,11,0,1,2,2,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,Class_7
46958,46959,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,3,0,0,0,0,1,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,Class_7
151,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_1
16937,16938,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,Class_2
30925,30926,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,24,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_5
38673,38674,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_6
20655,20656,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Class_3
28295,28296,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Class_4
31347,31348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_5
24716,24717,5,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,Class_3
50201,50202,0,0,1,0,0,0,4,1,0,1,0,0,1,5,0,1,0,0,0,4,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,1,0,2,3,0,0,0,0,0,0,6,2,0,2,1,0,1,0,0,0,2,8,0,3,0,2,3,2,1,2,1,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,Class_8
14065,14066,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Class_2
44760,44761,0,2,3,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,Class_6
57453,57454,0,1,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,3,4,0,0,0,4,0,0,3,1,1,1,0,0,3,0,2,2,0,0,0,0,0,0,3,0,0,0,0,25,7,2,2,0,0,0,1,0,15,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,Class_9
7801,7802,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Class_2
58303,58304,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,2,0,0,5,0,0,0,3,0,1,0,4,0,0,1,2,2,0,0,16,1,0,0,0,0,0,2,0,0,0,0,2,1,2,0,0,1,0,0,0,9,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Class_9
37764,37765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,7,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,Class_6
29897,29898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Class_5
10497,10498,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Class_2
17179,17180,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,Class_2
21101,21102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,14,0,6,0,0,0,0,0,Class_3
31705,31706,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,1,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,13,0,0,0,0,0,1,6,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Class_6
2757,2758,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,4,0,1,0,0,0,Class_2
47904,47905,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,5,6,6,2,0,0,0,0,2,7,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,2,0,3,0,0,0,6,1,0,0,0,1,0,0,1,1,1,1,14,9,0,0,5,0,1,3,0,0,4,1,0,0,1,0,0,2,0,2,33,1,1,0,0,0,0,0,Class_7
15946,15947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Class_2
2037,2038,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Class_2
23937,23938,0,0,0,0,0,0,0,0,0,1,0,1,0,0,21,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,3,1,2,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,Class_3
20380,20381,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Class_3
53297,53298,0,1,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,1,5,0,1,1,6,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,9,0,1,0,0,0,4,1,0,3,1,0,1,0,1,0,0,0,6,2,0,5,1,0,2,4,3,19,2,0,0,0,1,0,0,5,0,0,0,1,0,0,36,0,0,0,Class_8
38956,38957,1,0,8,5,1,0,0,1,7,0,9,0,0,0,0,5,0,0,0,1,4,2,0,3,0,2,1,6,1,1,0,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4,0,0,0,0,15,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,4,1,0,0,1,0,0,2,0,0,1,0,Class_6
14996,14997,4,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Class_2
59786,59787,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,1,2,0,0,2,0,0,0,4,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,Class_9
249,250,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,8,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,Class_1
61393,61394,1,2,1,0,0,0,1,3,1,0,1,1,41,5,1,6,22,0,0,0,0,1,0,11,2,0,0,0,13,6,0,1,2,4,0,4,1,0,0,0,1,0,0,2,0,0,0,7,0,0,0,0,0,5,1,0,0,1,0,2,0,5,0,0,3,1,10,0,0,1,3,0,0,0,0,9,11,1,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,Class_9
55123,55124,0,0,1,0,0,0,8,0,0,0,0,0,11,0,0,7,1,1,0,2,0,2,1,10,5,0,0,0,0,0,0,2,0,0,1,2,2,6,1,2,0,1,0,2,1,0,0,3,0,2,0,0,0,3,7,0,1,0,0,0,0,2,0,6,1,3,8,0,2,4,0,2,1,5,0,11,0,44,0,0,0,0,1,0,2,1,3,0,1,2,0,0,0,Class_8
40626,40627,0,0,6,13,0,0,0,0,0,0,9,0,1,0,0,7,1,4,1,0,0,2,0,0,1,3,3,2,0,0,0,0,0,1,10,1,0,3,0,1,0,4,0,2,0,3,0,0,13,0,0,1,1,17,1,0,1,0,0,1,6,4,0,3,0,0,2,1,0,1,0,1,0,2,0,2,0,0,1,7,0,8,2,0,0,0,0,0,6,0,0,0,0,Class_6
38308,38309,1,2,3,6,1,0,1,0,0,0,9,1,0,0,0,5,0,2,0,2,0,2,0,0,0,2,12,2,0,0,0,2,1,1,1,0,0,1,3,0,0,7,0,3,0,0,0,0,9,0,0,0,0,15,3,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,5,0,2,2,0,0,0,0,0,1,0,0,0,0,Class_6
30866,30867,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Class_5
38682,38683,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,7,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,1,0,1,2,2,0,0,0,0,1,5,2,1,1,0,2,12,0,3,0,1,0,4,3,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,10,2,0,0,0,0,0,Class_6
57227,57228,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,4,0,1,0,5,1,0,0,0,0,0,0,4,0,0,0,1,1,1,0,1,0,0,4,0,0,21,3,0,0,2,10,0,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,1,Class_9
57427,57428,0,0,3,0,0,0,1,3,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,2,1,0,0,6,0,0,2,0,1,0,3,0,0,0,0,1,2,0,0,1,0,0,0,0,9,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1,0,0,3,0,Class_9
19407,19408,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Class_3
31534,31535,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,Class_6
