,QuoteNumber,Original_Quote_Date,QuoteConversion_Flag,Field6,Field7,Field8,Field9,Field10,Field11,Field12,CoverageField1A,CoverageField1B,CoverageField2A,CoverageField2B,CoverageField3A,CoverageField3B,CoverageField4A,CoverageField4B,CoverageField5A,CoverageField5B,CoverageField6A,CoverageField6B,CoverageField8,CoverageField9,CoverageField11A,CoverageField11B,SalesField1A,SalesField1B,SalesField2A,SalesField2B,SalesField3,SalesField4,SalesField5,SalesField6,SalesField7,SalesField8,SalesField9,SalesField10,SalesField11,SalesField12,SalesField13,SalesField14,SalesField15,PersonalField1,PersonalField2,PersonalField4A,PersonalField4B,PersonalField5,PersonalField6,PersonalField7,PersonalField8,PersonalField9,PersonalField10A,PersonalField10B,PersonalField11,PersonalField12,PersonalField13,PersonalField14,PersonalField15,PersonalField16,PersonalField17,PersonalField18,PersonalField19,PersonalField22,PersonalField23,PersonalField24,PersonalField25,PersonalField26,PersonalField27,PersonalField28,PersonalField29,PersonalField30,PersonalField31,PersonalField32,PersonalField33,PersonalField34,PersonalField35,PersonalField36,PersonalField37,PersonalField38,PersonalField39,PersonalField40,PersonalField41,PersonalField42,PersonalField43,PersonalField44,PersonalField45,PersonalField46,PersonalField47,PersonalField48,PersonalField49,PersonalField50,PersonalField51,PersonalField52,PersonalField53,PersonalField54,PersonalField55,PersonalField56,PersonalField57,PersonalField58,PersonalField59,PersonalField60,PersonalField61,PersonalField62,PersonalField63,PersonalField64,PersonalField65,PersonalField66,PersonalField67,PersonalField68,PersonalField69,PersonalField70,PersonalField71,PersonalField72,PersonalField73,PersonalField74,PersonalField75,PersonalField76,PersonalField77,PersonalField78,PersonalField79,PersonalField80,PersonalField81,PersonalField82,PersonalField83,PersonalField84,PropertyField1A,PropertyField1B,PropertyField2A,PropertyField2B,PropertyField3,PropertyField4,PropertyField5,PropertyField6,PropertyField7,PropertyField8,PropertyField9,PropertyField10,PropertyField11A,PropertyField11B,PropertyField12,PropertyField13,PropertyField14,PropertyField15,PropertyField16A,PropertyField16B,PropertyField17,PropertyField18,PropertyField19,PropertyField20,PropertyField21A,PropertyField21B,PropertyField22,PropertyField23,PropertyField24A,PropertyField24B,PropertyField25,PropertyField26A,PropertyField26B,PropertyField27,PropertyField28,PropertyField29,PropertyField30,PropertyField31,PropertyField32,PropertyField33,PropertyField34,PropertyField35,PropertyField36,PropertyField37,PropertyField38,PropertyField39A,PropertyField39B,GeographicField1A,GeographicField1B,GeographicField2A,GeographicField2B,GeographicField3A,GeographicField3B,GeographicField4A,GeographicField4B,GeographicField5A,GeographicField5B,GeographicField6A,GeographicField6B,GeographicField7A,GeographicField7B,GeographicField8A,GeographicField8B,GeographicField9A,GeographicField9B,GeographicField10A,GeographicField10B,GeographicField11A,GeographicField11B,GeographicField12A,GeographicField12B,GeographicField13A,GeographicField13B,GeographicField14A,GeographicField14B,GeographicField15A,GeographicField15B,GeographicField16A,GeographicField16B,GeographicField17A,GeographicField17B,GeographicField18A,GeographicField18B,GeographicField19A,GeographicField19B,GeographicField20A,GeographicField20B,GeographicField21A,GeographicField21B,GeographicField22A,GeographicField22B,GeographicField23A,GeographicField23B,GeographicField24A,GeographicField24B,GeographicField25A,GeographicField25B,GeographicField26A,GeographicField26B,GeographicField27A,GeographicField27B,GeographicField28A,GeographicField28B,GeographicField29A,GeographicField29B,GeographicField30A,GeographicField30B,GeographicField31A,GeographicField31B,GeographicField32A,GeographicField32B,GeographicField33A,GeographicField33B,GeographicField34A,GeographicField34B,GeographicField35A,GeographicField35B,GeographicField36A,GeographicField36B,GeographicField37A,GeographicField37B,GeographicField38A,GeographicField38B,GeographicField39A,GeographicField39B,GeographicField40A,GeographicField40B,GeographicField41A,GeographicField41B,GeographicField42A,GeographicField42B,GeographicField43A,GeographicField43B,GeographicField44A,GeographicField44B,GeographicField45A,GeographicField45B,GeographicField46A,GeographicField46B,GeographicField47A,GeographicField47B,GeographicField48A,GeographicField48B,GeographicField49A,GeographicField49B,GeographicField50A,GeographicField50B,GeographicField51A,GeographicField51B,GeographicField52A,GeographicField52B,GeographicField53A,GeographicField53B,GeographicField54A,GeographicField54B,GeographicField55A,GeographicField55B,GeographicField56A,GeographicField56B,GeographicField57A,GeographicField57B,GeographicField58A,GeographicField58B,GeographicField59A,GeographicField59B,GeographicField60A,GeographicField60B,GeographicField61A,GeographicField61B,GeographicField62A,GeographicField62B,GeographicField63,GeographicField64
38484,63988,2013-04-28,0,J,23,0.9769,0.0004,"1,165",1.2665,N,3,2,3,2,5,6,3,2,13,22,13,23,Y,F,15,23,7,18,12,23,0,3,4,1,M,28913,1,0,0,0,0,0,0,1,1,1,1,6,1,N,1,3,-1,-1,0,5,2,2,12,XS,XE,XQ,ZN,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,4,6,-1,17,N,N,Y,0,D,1,0,2,-1,21,4,1,C,1,3,5,0,2,0,0,3,2,2,1,5,7,2.0,4,3,6,B,0.0,N,N,Y,G,Y,2,N,Y,N,20,23,6,13,4,2,12,13,16,17,-1,22,17,23,25,25,18,23,19,22,-1,25,17,23,25,25,18,23,-1,23,25,25,18,23,2,2,-1,9,11,13,3,5,-1,4,-1,15,-1,24,25,25,17,18,8,11,23,23,7,11,6,7,5,4,8,11,6,8,4,3,6,5,5,7,7,7,3,7,4,3,4,7,5,10,8,6,6,5,2,2,6,2,11,15,13,15,9,18,7,4,16,11,15,12,8,6,8,6,18,15,17,19,7,14,-1,17,14,14,10,11,5,4,-1,14,-1,14,-1,17,N,TX
212713,354624,2014-11-09,0,E,16,0.9108,0.0006,"1,487",1.3045,N,14,21,14,21,12,19,13,20,13,22,13,23,Y,F,5,10,25,25,18,24,1,5,5,11,M,66409,1,0,0,0,0,0,0,1,1,3,3,7,0,N,1,3,-1,-1,0,5,2,5,16,XB,YJ,ZH,ZO,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,16,21,-1,15,N,N,Y,0,J,1,0,1,-1,22,1,2,A,1,5,9,0,3,1,0,14,21,2,1,17,22,3.0,6,7,4,B,,N,N,N,G,N,0,N,Y,N,12,14,13,22,7,4,15,17,13,13,-1,13,9,17,12,18,9,17,13,17,-1,25,9,18,13,18,9,18,-1,19,10,13,8,17,2,7,-1,20,20,20,5,15,25,25,-1,23,-1,15,16,15,17,17,10,13,21,20,22,25,13,20,15,24,11,17,7,10,15,22,19,23,11,19,20,24,9,20,15,22,12,21,10,15,18,16,17,22,11,16,22,23,9,12,19,21,6,7,9,6,9,3,4,2,14,14,13,13,14,8,9,6,11,20,-1,23,17,20,12,15,14,17,-1,16,-1,24,-1,8,N,IL
156284,260225,2014-02-11,0,E,23,0.9472,0.0006,"1,487",1.3045,N,9,15,9,16,8,14,9,15,13,22,13,23,T,F,3,5,3,10,3,8,1,5,5,11,P,14955,0,0,0,0,0,0,0,1,1,13,16,7,0,N,1,2,6,12,0,1,2,4,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,2.0,7,11,-1,5,N,N,Y,0,R,0,0,1,-1,21,3,2,C,4,6,13,0,1,1,0,9,15,2,1,13,19,3.0,5,4,13,B,0.0,N,O,N,G,N,0,N,N,N,15,19,3,6,16,16,11,13,9,7,-1,13,10,19,12,18,10,19,16,19,-1,25,9,18,13,18,10,18,-1,22,10,15,11,22,2,8,-1,11,20,19,5,13,25,25,-1,24,-1,15,5,2,5,2,3,3,6,2,5,6,7,8,8,12,12,19,7,11,12,19,12,16,9,17,9,14,3,5,10,15,9,17,12,21,18,17,17,22,13,21,19,20,9,12,19,20,6,5,19,19,20,19,15,11,17,19,17,19,19,17,11,9,5,9,-1,11,8,4,24,25,19,23,-1,10,-1,5,-1,8,N,IL
194254,323764,2014-03-24,0,B,23,0.9153,0.0007,935,1.02,N,6,9,6,9,5,7,6,8,13,22,13,23,Y,D,10,19,2,2,3,5,1,3,4,11,K,43929,0,0,0,0,0,0,0,1,1,23,25,7,0,N,1,2,6,13,0,1,2,2,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,2.0,6,9,-1,22,Y,Y,Y,0,O,0,0,1,-1,21,4,2,A,4,8,17,0,0,0,0,6,9,2,1,13,19,1.0,21,24,10,B,0.0,N,O,Y,F,Y,1,N,N,N,24,25,1,1,9,7,5,4,5,3,-1,13,2,9,2,3,2,4,2,2,-1,25,2,9,2,4,2,7,-1,8,2,2,2,2,3,19,-1,15,2,3,3,6,-1,4,-1,15,-1,6,18,18,23,24,22,24,22,22,4,5,6,7,4,3,4,3,5,6,9,15,4,3,4,4,6,5,6,13,5,4,4,6,2,2,1,1,15,21,6,5,8,4,2,4,8,3,8,15,14,11,15,9,9,5,16,17,15,16,14,8,16,16,9,18,-1,17,16,19,17,22,8,8,-1,6,-1,22,25,25,N,CA
208573,347577,2013-09-08,0,J,23,0.9497,0.0004,"1,165",1.2665,N,4,5,4,6,4,4,4,5,13,22,13,23,T,F,6,11,11,22,14,24,1,5,5,4,M,39702,1,0,0,2,0,0,0,1,1,8,10,6,1,N,1,2,6,12,0,1,2,1,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,2.0,9,13,-1,25,N,N,Y,0,D,0,0,1,-1,21,4,1,C,4,5,9,1,3,0,0,4,5,2,1,9,14,1.0,16,22,10,D,0.0,N,O,N,H,N,0,N,N,N,22,24,5,11,11,10,10,11,6,3,-1,22,17,23,25,25,18,23,19,22,-1,25,17,23,25,25,18,23,-1,23,25,25,18,23,1,1,-1,6,11,13,3,5,-1,4,-1,15,-1,24,25,25,17,18,8,11,23,23,14,21,5,5,6,8,5,4,11,18,5,5,10,11,2,2,8,11,2,3,7,10,2,1,10,17,8,6,11,14,2,2,10,10,11,16,17,18,10,18,13,10,17,14,14,10,15,16,15,16,20,18,11,9,4,7,-1,4,17,20,1,1,16,20,-1,17,-1,4,-1,25,N,TX
54879,91299,2014-12-15,0,F,7,1.0005,0.004,548,1.2433,N,7,11,7,11,10,17,7,11,25,25,25,25,Y,E,9,17,4,11,4,13,0,1,2,20,K,39901,0,0,0,0,0,0,0,1,1,13,17,7,0,N,1,2,5,8,0,1,2,1,11,XH,ZF,ZN,YH,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,11,16,-1,16,Y,Y,Y,0,R,1,0,1,25,25,1,1,C,4,4,8,0,1,1,0,7,11,2,1,7,10,1.0,13,19,13,B,,N,K,Y,E,Y,1,N,N,N,11,12,6,12,14,14,8,8,15,16,-1,19,5,16,10,15,5,16,7,16,-1,25,4,12,9,14,5,14,-1,16,11,17,7,16,2,11,-1,12,22,22,23,24,-1,17,-1,17,-1,18,18,17,14,13,7,10,19,18,7,10,10,15,9,16,6,6,16,22,7,9,13,16,14,23,10,16,11,21,11,17,4,7,11,18,23,20,12,14,10,14,19,20,8,8,17,18,6,6,18,17,15,10,16,13,17,18,16,17,14,8,10,7,6,12,-1,11,8,5,17,21,14,17,-1,5,-1,23,-1,14,N,NJ
151991,253005,2015-05-13,0,B,23,0.9153,0.0007,935,1.02,N,2,2,3,2,2,2,2,2,1,2,1,6,X,K,25,25,2,2,4,14,0,3,4,11,T,29783,0,1,1,1,0,0,0,1,1,16,20,6,1,N,1,2,21,23,0,1,2,5,24,ZA,ZE,XR,XD,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2.0,18,23,-1,6,N,N,Y,0,O,0,0,1,-1,21,4,1,A,4,9,18,0,1,1,0,3,2,2,10,6,7,1.0,11,16,10,B,0.0,N,O,Y,H,Y,2,N,N,N,22,24,14,23,11,10,5,4,19,22,-1,13,2,4,7,8,2,8,2,3,-1,25,2,5,5,8,2,7,-1,9,9,11,3,8,18,24,-1,25,1,1,2,2,-1,10,-1,15,-1,3,15,11,19,20,20,22,17,16,4,4,3,2,9,16,8,11,5,7,9,13,9,10,7,12,12,19,4,8,9,14,8,16,3,6,2,4,6,6,10,11,14,15,3,5,10,6,22,24,11,9,13,7,12,8,9,7,8,6,11,5,15,16,13,21,-1,16,17,19,14,17,5,3,-1,2,-1,11,-1,21,N,CA
217267,362236,2013-09-30,0,F,11,0.9919,0.0038,564,1.1886,N,22,25,23,25,20,24,21,24,13,22,1,6,T,J,1,1,6,17,2,2,1,4,3,20,K,46282,0,1,5,5,0,2,2,0,0,6,8,6,1,N,1,2,5,8,0,1,2,2,6,XJ,XV,XP,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,10,15,-1,21,N,N,Y,0,R,1,0,1,-1,25,1,2,C,9,14,22,1,4,5,0,23,25,2,1,20,24,2.0,13,19,4,B,,N,O,Y,H,N,2,N,N,N,6,4,2,3,24,25,23,24,17,20,-1,15,5,15,8,10,5,14,6,15,-1,25,4,16,8,10,5,16,-1,14,9,8,5,13,2,10,-1,15,23,24,20,22,-1,21,-1,23,-1,15,10,3,8,3,5,3,10,3,9,15,9,13,8,14,14,21,14,22,11,18,16,21,8,13,13,20,3,6,15,22,6,11,12,21,24,23,12,15,10,14,19,20,11,15,17,18,6,7,25,25,21,21,24,25,18,20,19,21,25,25,10,7,3,4,-1,2,14,15,3,2,11,13,-1,25,-1,6,-1,23,N,NJ
158509,264002,2014-11-10,0,J,26,0.887,0.0004,"1,113",1.2665,N,1,1,1,1,1,1,1,1,13,22,13,23,X,I,25,25,13,23,25,25,0,5,5,11,K,45497,0,0,0,0,0,0,0,1,1,6,8,7,0,N,1,3,-1,-1,0,5,2,3,20,XD,XS,YP,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,12,17,-1,3,N,N,Y,0,D,1,0,1,-1,21,4,0,B,1,2,2,0,2,0,0,1,1,2,1,3,3,1.0,8,10,4,B,,N,K,Y,E,N,2,N,Y,N,22,24,5,11,7,5,1,1,13,14,25,25,13,20,21,21,14,20,18,21,-1,25,13,20,20,20,14,20,-1,19,23,22,11,20,2,6,-1,11,8,10,3,9,-1,8,-1,15,-1,20,19,20,13,10,7,10,16,14,7,10,4,3,6,8,4,4,4,5,4,3,5,4,5,6,7,7,2,2,6,7,4,7,8,13,13,10,10,12,25,25,8,5,12,20,12,14,8,16,7,4,13,7,18,18,4,2,4,2,11,5,3,1,7,14,-1,18,13,12,12,14,8,8,-1,2,-1,22,-1,21,N,TX
157614,262492,2014-11-04,0,J,26,0.887,0.0004,"1,113",1.2665,N,7,11,7,11,6,9,6,10,13,22,13,23,Y,G,9,18,11,22,11,23,1,5,5,11,P,56729,0,0,0,0,0,0,0,1,1,21,24,6,1,N,1,2,12,19,0,1,2,5,10,XH,ZF,XF,YG,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,10,14,-1,25,N,N,Y,0,J,1,0,1,-1,21,4,2,C,1,4,7,1,2,0,0,7,11,2,1,12,18,1.0,20,24,10,D,,N,O,N,H,N,0,N,N,N,20,23,2,4,6,3,8,8,19,21,-1,16,22,24,23,22,22,24,23,24,-1,25,24,23,22,22,24,23,-1,24,24,23,19,24,2,2,-1,5,14,15,4,11,-1,12,-1,15,25,25,15,9,15,13,9,11,18,18,10,17,6,6,7,10,7,10,12,20,8,12,7,6,5,5,7,7,4,8,6,7,5,7,13,22,16,14,19,24,12,20,9,7,8,8,11,13,12,19,10,7,18,16,11,6,15,16,15,16,18,15,7,4,5,10,-1,18,19,22,10,10,10,10,-1,9,-1,16,-1,8,N,TX
222683,371162,2013-04-30,0,F,15,0.9313,0.0038,564,1.1161,N,7,12,7,12,6,10,7,11,13,22,13,23,T,E,4,7,4,11,4,13,0,5,5,1,T,59888,0,0,0,0,0,0,0,1,1,2,2,7,0,N,1,3,-1,-1,0,5,2,2,20,XD,XS,YP,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,18,23,-1,10,N,N,Y,0,J,1,0,1,-1,21,1,1,C,4,7,14,0,1,0,0,7,12,2,1,5,6,1.0,10,15,10,B,,N,O,Y,G,Y,2,N,Y,N,6,5,17,24,15,15,11,13,8,6,-1,20,4,13,9,13,5,13,5,12,-1,25,4,15,8,13,5,14,-1,13,9,11,5,12,2,16,-1,22,23,24,21,22,-1,22,-1,22,-1,14,10,4,10,5,5,5,13,6,10,16,10,15,13,23,4,3,10,17,15,22,13,17,5,8,19,24,6,15,17,23,7,13,11,19,25,25,14,19,17,23,23,24,12,21,21,24,7,11,14,11,13,6,16,13,5,3,5,3,10,4,17,18,10,19,-1,6,2,1,20,24,19,23,-1,12,-1,3,-1,24,Y,NJ
17312,28658,2013-01-01,0,J,23,0.9559,0.0004,"1,165",1.2392,N,11,18,11,18,10,17,10,18,13,22,13,23,T,G,3,3,25,25,18,24,1,5,5,23,P,4847,1,0,0,0,0,0,0,1,1,12,16,6,1,N,1,2,6,12,0,1,2,4,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,3,0,0,0,0,1,2.0,5,8,-1,9,N,N,Y,0,Q,0,0,1,-1,21,4,2,C,2,5,11,1,3,0,0,11,18,2,1,15,21,3.0,5,5,4,B,0.0,Y,K,N,G,N,0,N,N,N,14,17,2,4,14,14,19,22,17,19,-1,22,20,23,24,23,20,23,24,25,-1,25,22,23,24,23,22,23,-1,22,24,25,15,23,1,1,-1,3,22,23,3,7,-1,4,-1,15,25,25,20,21,15,13,7,8,21,19,6,8,4,3,9,16,4,3,11,19,5,5,10,11,5,5,4,3,3,4,9,14,2,2,25,25,18,16,18,23,8,8,9,7,8,8,10,9,10,18,17,16,20,19,17,15,18,20,19,21,21,20,9,6,3,4,-1,5,15,17,7,5,14,17,-1,24,-1,2,-1,10,N,TX
237457,395829,2014-10-27,0,F,7,1.0006,0.004,548,1.2433,N,8,13,8,13,11,18,7,12,25,25,25,25,Y,E,8,16,3,10,3,10,1,1,2,20,K,29702,0,0,0,0,0,0,0,1,1,11,15,7,0,N,1,2,13,20,0,1,2,5,7,YF,ZK,ZL,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,6,9,-1,22,N,N,Y,0,R,1,0,1,-1,21,1,2,C,4,6,13,0,2,1,0,8,13,2,1,16,21,2.0,10,15,4,B,,N,O,Y,H,N,2,N,N,N,23,24,5,11,5,3,9,10,25,25,-1,18,5,16,10,15,5,16,7,16,-1,25,4,12,9,14,5,14,-1,16,11,17,7,16,2,12,-1,16,22,22,23,24,-1,17,-1,17,-1,18,21,22,18,19,13,17,22,21,7,11,9,13,6,7,4,3,16,23,8,13,12,14,7,10,6,6,7,17,7,9,5,7,12,21,22,19,18,23,11,17,12,12,7,7,16,18,6,6,9,6,3,1,7,3,15,16,13,13,8,3,17,19,12,20,-1,17,20,23,16,20,3,2,-1,12,-1,23,-1,8,N,NJ
209985,349963,2013-10-07,0,B,23,0.9403,0.0006,965,1.02,N,4,4,4,4,3,3,4,4,13,22,13,23,Y,D,13,22,3,7,5,16,0,5,5,20,K,61585,0,0,0,2,0,0,0,0,0,-1,-1,7,0,N,1,1,3,1,0,4,2,1,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,2.0,4,5,-1,15,N,N,Y,0,D,0,0,1,-1,21,3,1,C,1,6,13,0,0,0,0,4,4,2,1,1,1,1.0,3,3,6,B,0.0,N,O,Y,G,Y,2,Y,N,N,2,1,23,25,14,13,10,12,2,1,-1,13,2,6,4,6,2,6,2,8,-1,25,2,4,3,5,2,5,-1,7,6,6,2,6,24,25,25,25,4,7,5,14,-1,9,-1,15,-1,7,17,16,19,22,16,19,21,20,13,20,20,24,9,17,25,25,2,2,25,25,13,18,11,19,12,19,12,22,6,8,25,25,2,4,14,11,7,8,3,3,9,7,21,23,9,3,9,18,10,7,12,6,16,13,3,2,3,2,14,8,21,23,10,19,-1,19,25,25,15,20,13,16,-1,19,-1,24,-1,22,N,CA
151290,251839,2013-07-30,0,F,11,0.9919,0.0038,564,1.1886,N,11,18,11,18,10,16,10,18,13,22,13,23,T,E,3,3,9,21,6,19,0,5,5,21,P,15474,0,0,0,0,0,0,0,1,1,1,1,7,0,N,1,3,-1,-1,0,5,2,4,6,XZ,ZQ,ZW,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,12,16,25,25,N,N,Y,0,N,1,0,1,25,25,3,2,C,5,4,7,1,1,1,0,11,18,2,1,10,16,1.0,17,23,13,B,,Y,O,N,H,Y,2,N,Y,N,8,8,4,8,10,8,9,10,16,17,-1,19,4,10,10,16,5,11,6,13,-1,25,4,10,10,16,5,10,-1,11,11,18,5,13,2,10,-1,14,21,21,21,23,-1,17,-1,16,-1,18,18,17,14,13,7,10,19,18,6,8,5,4,6,8,5,4,15,22,7,9,11,12,8,14,12,19,6,13,12,19,7,13,7,11,22,19,18,23,10,13,19,20,7,7,14,16,6,5,14,12,7,2,6,2,17,19,16,17,12,6,14,14,8,16,-1,19,13,12,17,22,11,12,-1,4,-1,18,-1,8,N,NJ
218080,363549,2013-07-10,0,F,11,0.9919,0.0038,564,1.1886,N,11,19,11,19,10,17,11,18,13,22,13,23,T,G,3,3,5,15,3,11,0,5,5,17,T,38200,0,1,1,1,0,0,0,1,1,22,24,7,0,N,1,2,6,9,0,1,2,2,4,XR,XS,YP,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,12,17,-1,8,Y,Y,Y,0,D,1,0,1,-1,21,1,2,C,4,15,23,1,2,1,0,11,19,2,1,17,22,2.0,11,16,4,B,,N,O,Y,H,N,2,N,N,N,15,19,3,5,22,23,21,23,14,15,-1,22,4,12,10,14,5,13,6,14,-1,25,4,11,9,15,5,12,-1,12,10,16,6,14,2,12,-1,16,23,24,23,25,-1,18,-1,18,-1,10,18,17,12,8,7,8,15,11,4,3,11,17,8,14,7,8,11,19,10,16,16,21,6,9,10,14,3,5,15,22,12,21,11,19,24,23,15,21,11,18,21,22,11,15,14,16,7,13,23,24,21,20,21,21,15,16,16,17,23,24,9,5,1,1,-1,2,13,12,6,4,16,20,-1,24,-1,2,-1,8,N,NJ
101665,169505,2013-03-28,0,F,15,0.8945,0.0038,564,1.067,N,6,9,6,10,5,8,6,9,13,22,13,23,T,E,4,8,4,13,5,16,1,5,5,23,Q,5758,0,2,2,2,1,1,1,1,1,5,6,7,0,N,1,2,15,21,0,1,2,4,14,YE,XU,XQ,ZO,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,7,11,-1,23,N,N,Y,0,R,1,0,1,-1,21,2,1,C,4,4,8,0,2,1,0,6,9,2,1,8,11,2.0,5,5,4,B,,N,O,N,H,Y,1,N,N,N,13,16,2,4,8,5,10,11,9,7,-1,19,5,15,11,16,5,15,6,12,-1,25,4,10,10,16,4,10,-1,18,12,19,8,17,2,9,-1,3,19,18,21,22,-1,16,-1,16,-1,18,25,25,24,25,16,18,25,25,4,5,4,3,6,8,9,13,4,5,8,11,6,5,8,14,7,7,18,24,7,8,13,22,10,16,23,21,10,12,10,14,17,18,7,7,16,18,6,11,10,7,2,1,1,1,13,12,11,10,7,3,15,15,11,19,-1,21,15,17,9,10,13,16,-1,7,-1,23,-1,8,N,NJ
3794,6341,2013-12-04,0,F,11,0.9838,0.0038,564,1.1886,N,8,14,8,14,11,19,8,13,13,22,13,23,T,G,4,6,3,7,3,6,1,4,3,16,T,16102,0,0,1,1,0,0,0,1,1,7,10,7,0,N,1,3,-1,-1,0,5,2,3,6,XR,YN,ZW,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,16,21,-1,2,N,N,Y,0,R,1,0,1,-1,21,1,1,C,4,7,14,0,2,0,0,8,14,2,1,10,15,1.0,17,23,10,B,,N,O,Y,H,N,2,N,Y,N,13,15,10,19,11,9,7,7,4,2,-1,18,4,13,9,13,5,13,5,12,-1,25,4,15,8,13,5,14,-1,13,9,11,5,12,2,12,-1,19,20,19,18,21,-1,19,-1,19,-1,11,10,4,8,3,3,2,11,3,10,17,6,5,11,20,13,21,8,14,3,2,16,21,3,2,25,25,2,1,10,17,3,4,10,16,23,21,13,16,11,16,21,23,11,17,20,22,7,11,12,10,11,5,20,19,8,6,7,6,11,5,12,10,13,21,-1,15,7,4,5,3,14,18,-1,1,-1,2,-1,8,N,NJ
